"","sort(rowSums(as.matrix(term_freq_con)), decreasing = TRUE)"
"xrl",4
"yau",4
"yearthe",4
"zhuhai",4
"zones",4
"abolishing",3
"abovetrend",3
"abruptly",3
"absence",3
"academics",3
"accessibility",3
"accession",3
"accessory",3
"acclaim",3
"accommodate",3
"accredited",3
"accumulation",3
"acumen",3
"adequacy",3
"adhered",3
"adopts",3
"adults",3
"adverse",3
"advocating",3
"aforesaid",3
"aggravated",3
"agrees",3
"alfresco",3
"allied",3
"american",3
"amlctf",3
"analyse",3
"analysing",3
"anchor",3
"anderson",3
"announcing",3
"antidrug",3
"anyone",3
"appointed",3
"apprenticeship",3
"arab",3
"arboriculture",3
"architectural",3
"artistic",3
"asdf",3
"aspiring",3
"assessed",3
"assurance",3
"astri",3
"attachment",3
"audits",3
"augment",3
"authorisation",3
"autism",3
"autonomy",3
"availability",3
"avenues",3
"awaive",3
"band",3
"bcc",3
"beer",3
"beliefs",3
"betterment",3
"betteroff",3
"bidding",3
"bigger",3
"billionbreducing",3
"billionoverall",3
"bim",3
"bit",3
"blend",3
"boat",3
"bolstered",3
"boosted",3
"boundaries",3
"box",3
"brazil",3
"breadth",3
"breakthrough",3
"brics",3
"bridges",3
"briefly",3
"british",3
"broadened",3
"broke",3
"brothersister",3
"brownfield",3
"bumpy",3
"bursting",3
"calculated",3
"called",3
"campaigns",3
"cargoes",3
"cashflow",3
"categories",3
"ceased",3
"ceilings",3
"celebration",3
"centralised",3
"cessation",3
"chairman",3
"championship",3
"chart",3
"circle",3
"cityrecent",3
"citys",3
"claim",3
"claims",3
"clients",3
"coastal",3
"codes",3
"cohesive",3
"coinvest",3
"collecting",3
"colony",3
"colorectal",3
"combine",3
"comic",3
"command",3
"commercialindustrial",3
"commercialise",3
"committing",3
"communicate",3
"comparability",3
"comparable",3
"comparison",3
"compete",3
"competence",3
"completely",3
"comprehensively",3
"compulsory",3
"concepts",3
"confined",3
"consistency",3
"constitute",3
"constitutional",3
"constrained",3
"consultants",3
"contact",3
"contained",3
"contents",3
"contingencies",3
"continuation",3
"controlled",3
"cooperate",3
"correction",3
"correspondingly",3
"costrecovery",3
"costsaving",3
"counterparts",3
"couple",3
"critically",3
"cuisine",3
"cum",3
"curb",3
"curbing",3
"cvf",3
"daytoday",3
"dealing",3
"decisive",3
"decreasing",3
"deducted",3
"degrees",3
"delight",3
"delivering",3
"dentists",3
"departing",3
"deploying",3
"deployment",3
"depression",3
"depth",3
"description",3
"deserves",3
"designate",3
"designsmart",3
"deteriorating",3
"develops",3
"digitisation",3
"dine",3
"dipped",3
"discharged",3
"discount",3
"discussed",3
"disneylands",3
"distance",3
"distinct",3
"distributed",3
"divergent",3
"division",3
"doctors",3
"dogma",3
"dothe",3
"doubledigit",3
"downside",3
"downtrend",3
"draft",3
"drag",3
"drainage",3
"drastically",3
"driven",3
"drives",3
"dropping",3
"dutiable",3
"earn",3
"eccpc",3
"echeques",3
"economical",3
"economics",3
"economists",3
"edged",3
"elaborated",3
"electronically",3
"embark",3
"embarked",3
"emerge",3
"emergence",3
"emirates",3
"employability",3
"employee",3
"endeavours",3
"endorsement",3
"enriched",3
"entitlement",3
"entrenched",3
"envelope",3
"environments",3
"epidemics",3
"equipped",3
"equitable",3
"escalating",3
"establishments",3
"estimation",3
"evidence",3
"evidenced",3
"evolution",3
"examined",3
"exception",3
"exceptionally",3
"exemplary",3
"exmentally",3
"expectancy",3
"expedited",3
"expensive",3
"exposed",3
"eye",3
"fastchanging",3
"festivals",3
"fffi",3
"finalising",3
"finding",3
"finished",3
"fitness",3
"flight",3
"flights",3
"fluctuate",3
"fluctuated",3
"focal",3
"foodstuffs",3
"foothold",3
"footing",3
"foremost",3
"forestalling",3
"forestry",3
"formal",3
"formerly",3
"forming",3
"fostered",3
"frail",3
"frame",3
"freedoms",3
"freezing",3
"freshletting",3
"fss",3
"fuelled",3
"fuelling",3
"fuels",3
"gaining",3
"gear",3
"gearing",3
"geographic",3
"geriatric",3
"gifted",3
"globalised",3
"gold",3
"golden",3
"golf",3
"gourmet",3
"grades",3
"grave",3
"grooming",3
"guangdonghongkongmacao",3
"guangxi",3
"guided",3
"habits",3
"hamper",3
"handicapped",3
"happen",3
"hardly",3
"harness",3
"hawkers",3
"hearing",3
"hedge",3
"height",3
"helpers",3
"highlevel",3
"hike",3
"hisher",3
"holiday",3
"honest",3
"hoped",3
"hopes",3
"hostels",3
"houses",3
"hubs",3
"hundreds",3
"idea",3
"ideology",3
"illhealth",3
"illustrate",3
"ils",3
"immigrant",3
"impaired",3
"importers",3
"impressed",3
"incentivise",3
"inception",3
"inclined",3
"indonesia",3
"infection",3
"influenced",3
"informed",3
"initiate",3
"innocell",3
"innohk",3
"inside",3
"inspiring",3
"insurancelinked",3
"insurers",3
"intelligent",3
"intensified",3
"interbank",3
"interdepartmental",3
"interim",3
"intermediation",3
"interns",3
"inventions",3
"inventory",3
"investorsconfidence",3
"ippa",3
"iron",3
"islands",3
"itacs",3
"italy",3
"jade",3
"jewellery",3
"jobrelated",3
"jockey",3
"jump",3
"justified",3
"kindergartencumchild",3
"kongwe",3
"labourintensive",3
"lagged",3
"landmark",3
"lately",3
"leased",3
"legislating",3
"lesseducated",3
"lessons",3
"letters",3
"levied",3
"liability",3
"liable",3
"liberalised",3
"lie",3
"lifa",3
"lifewide",3
"likewise",3
"limitations",3
"linchpin",3
"lingering",3
"linkedexchangerate",3
"listens",3
"lists",3
"loantovalue",3
"locallyproduced",3
"longhaul",3
"looks",3
"lowerskilled",3
"lump",3
"lung",3
"luxury",3
"macroprudential",3
"maiden",3
"malaysia",3
"mapping",3
"marketdriven",3
"meantime",3
"mechanisms",3
"median",3
"merchant",3
"mere",3
"merely",3
"method",3
"mice",3
"microelectronics",3
"midfield",3
"mids",3
"midst",3
"milestone",3
"milestones",3
"minimal",3
"minimising",3
"minutes",3
"mixed",3
"moderated",3
"moderation",3
"morale",3
"moves",3
"multidisciplinary",3
"name",3
"nda",3
"necessities",3
"neuroscience",3
"newly",3
"norm",3
"northbound",3
"northern",3
"northfanling",3
"noteworthy",3
"nowadays",3
"obligations",3
"obtained",3
"obtaining",3
"occasions",3
"occupancy",3
"occupy",3
"oceangoing",3
"ofc",3
"ofcs",3
"officer",3
"officials",3
"offsetting",3
"openingup",3
"openness",3
"operator",3
"opinion",3
"oral",3
"orders",3
"organic",3
"organisers",3
"orientated",3
"outward",3
"overruns",3
"overspending",3
"panels",3
"paragraphs",3
"paramount",3
"parentsgrandparents",3
"partnerships",3
"passive",3
"pathway",3
"pattern",3
"pecuniary",3
"pensions",3
"permitted",3
"persists",3
"perspectives",3
"pharmaceuticals",3
"phone",3
"photovoltaic",3
"physiotherapy",3
"pick",3
"picture",3
"pivotal",3
"plus",3
"politically",3
"posing",3
"positioned",3
"positions",3
"possibilities",3
"postgraduate",3
"potentials",3
"ppp",3
"practising",3
"pragmatically",3
"preceding",3
"predicted",3
"preeuro",3
"prerevenue",3
"presale",3
"presidenthonourable",3
"pretsunami",3
"primarily",3
"privatesector",3
"procuring",3
"prominent",3
"prompt",3
"proposes",3
"proved",3
"proven",3
"qualities",3
"quickly",3
"quotas",3
"race",3
"railways",3
"rainy",3
"ranges",3
"rcep",3
"rches",3
"realised",3
"reap",3
"reasonably",3
"rebuild",3
"recall",3
"recognising",3
"recommends",3
"recovers",3
"recruits",3
"redevelop",3
"reenter",3
"reexports",3
"referral",3
"refine",3
"refund",3
"regarded",3
"regularising",3
"regulate",3
"rehabuses",3
"reits",3
"rejoin",3
"relation",3
"relatives",3
"reliable",3
"remarkably",3
"renal",3
"rendered",3
"renew",3
"repaid",3
"repay",3
"replacing",3
"represent",3
"reputed",3
"requested",3
"requests",3
"resale",3
"researcher",3
"researchrelated",3
"reserving",3
"resident",3
"resolute",3
"resourceswe",3
"restructure",3
"retailers",3
"reunited",3
"reversed",3
"reverted",3
"reviewed",3
"revisedestimates",3
"revival",3
"revive",3
"revived",3
"rezoned",3
"rigidly",3
"roadmap",3
"roadshows",3
"roughly",3
"rtgs",3
"runways",3
"sanguine",3
"satisfactory",3
"scarce",3
"scenarios",3
"scene",3
"securitise",3
"seed",3
"seeks",3
"selection",3
"selfadvancement",3
"selfemployed",3
"selffinanced",3
"selling",3
"separate",3
"ses",3
"setback",3
"settle",3
"seventh",3
"shadows",3
"shortening",3
"silk",3
"simplified",3
"sizes",3
"smooth",3
"soaring",3
"solar",3
"sourced",3
"sourcing",3
"span",3
"springboard",3
"stabilisation",3
"stabilised",3
"staging",3
"steel",3
"stick",3
"stimulated",3
"stipulated",3
"stipulates",3
"stop",3
"story",3
"strategically",3
"stressed",3
"subcontractors",3
"subsidiary",3
"subsidises",3
"suffered",3
"suggestion",3
"suitably",3
"sun",3
"supplements",3
"supplyside",3
"survive",3
"swept",3
"swimming",3
"taipei",3
"talk",3
"tamar",3
"tan",3
"tapered",3
"tapering",3
"tarifffree",3
"tasked",3
"tau",3
"taxpayer",3
"teacher",3
"tech",3
"technologybased",3
"television",3
"tell",3
"temperature",3
"temperaturecontrolled",3
"temporarily",3
"tendered",3
"tennis",3
"tentatively",3
"terminus",3
"territorywide",3
"tests",3
"teus",3
"thailand",3
"theeconomy",3
"thereafter",3
"therein",3
"thing",3
"thinking",3
"thirdparty",3
"thorny",3
"thorough",3
"thousand",3
"threshold",3
"tid",3
"tided",3
"tiers",3
"till",3
"timing",3
"topnotch",3
"topside",3
"totally",3
"tourismrelated",3
"tournament",3
"toys",3
"transforms",3
"tread",3
"tree",3
"trip",3
"trips",3
"tune",3
"tunnel",3
"uncompleted",3
"underemployed",3
"underground",3
"undermined",3
"underscores",3
"undesirable",3
"unincorporated",3
"unlawful",3
"unnecessary",3
"unparalleled",3
"unsustainable",3
"unused",3
"upbeat",3
"upcoming",3
"updated",3
"upfront",3
"uras",3
"urged",3
"utilise",3
"vacancies",3
"validity",3
"vehicular",3
"versatile",3
"vetting",3
"viewsmr",3
"violent",3
"visa",3
"voting",3
"walt",3
"ward",3
"warrant",3
"waterpark",3
"weighted",3
"whereby",3
"wholeperson",3
"wild",3
"wings",3
"worse",3
"yearend",3
"zealand",3
"abandoned",2
"abound",2
"abreast",2
"abundantly",2
"acceleration",2
"accenture",2
"accepting",2
"accessible",2
"accommodated",2
"accomplishment",2
"accomplishments",2
"accord",2
"accountants",2
"accurately",2
"acknowledging",2
"acting",2
"adaptability",2
"adaptable",2
"adapted",2
"additionally",2
"adiversified",2
"administrators",2
"admissions",2
"admit",2
"admitting",2
"advantageous",2
"advocate",2
"aextend",2
"aextending",2
"affects",2
"affirmed",2
"afield",2
"afterwards",2
"aggravating",2
"aided",2
"aids",2
"airconditioning",2
"airfreight",2
"airinnohk",2
"airlines",2
"airside",2
"aligned",2
"aliveable",2
"alliance",2
"allocations",2
"allweather",2
"altogether",2
"ambassador",2
"ambassadors",2
"ambulance",2
"ambulatory",2
"amended",2
"andcreative",2
"andcthe",2
"andcwaive",2
"andecontinue",2
"andepaying",2
"angel",2
"annumin",2
"anticipating",2
"antiglobalisation",2
"apace",2
"apparatus",2
"appearance",2
"appetite",2
"applause",2
"appliances",2
"applicant",2
"apron",2
"areduce",2
"arenas",2
"ashare",2
"ashares",2
"asiaas",2
"assists",2
"astrengthening",2
"asupporting",2
"attainment",2
"attendance",2
"attendances",2
"auctions",2
"audiences",2
"augmenting",2
"automatic",2
"automobile",2
"automotive",2
"averaging",2
"avert",2
"avoiding",2
"awidening",2
"backbone",2
"backdrop",2
"backlog",2
"bandwidth",2
"bankers",2
"bankruptcy",2
"bar",2
"battering",2
"beat",2
"beautifying",2
"beauty",2
"behaviour",2
"believer",2
"benefitting",2
"berthing",2
"bextending",2
"bfac",2
"billiondproviding",2
"billions",2
"billionthe",2
"billionwe",2
"boards",2
"bold",2
"boldly",2
"bolstering",2
"bottle",2
"bottlenecks",2
"bottomed",2
"brace",2
"branch",2
"breathing",2
"breduce",2
"breducing",2
"brightest",2
"brisk",2
"broadband",2
"brother",2
"budgeted",2
"bulk",2
"bullish",2
"bunching",2
"buoyed",2
"buoying",2
"bureaus",2
"burst",2
"bursts",2
"buying",2
"cable",2
"camp",2
"canada",2
"capturing",2
"card",2
"carnival",2
"carriers",2
"catalyst",2
"catalytic",2
"catching",2
"catered",2
"cavern",2
"ccc",2
"census",2
"centrehong",2
"centrestage",2
"centthe",2
"cha",2
"champion",2
"channelling",2
"chargingenabling",2
"charles",2
"charter",2
"charting",2
"chek",2
"cheong",2
"cherished",2
"cheung",2
"childcare",2
"chinaasean",2
"choosing",2
"cigarette",2
"circuits",2
"clarifications",2
"clarify",2
"clarity",2
"classroom",2
"clearest",2
"clothing",2
"cmu",2
"code",2
"collapsed",2
"collections",2
"collects",2
"commendable",2
"commercialised",2
"commercialoffice",2
"commissions",2
"commit",2
"committeefunded",2
"commonly",2
"communities",2
"compensation",2
"competitors",2
"competiveness",2
"comply",2
"compound",2
"concentrate",2
"concentrated",2
"conclusions",2
"concourse",2
"concurrently",2
"confrontations",2
"congress",2
"cons",2
"consciously",2
"consent",2
"consequence",2
"considers",2
"consolidates",2
"constructed",2
"consume",2
"containers",2
"contingency",2
"continually",2
"contractionary",2
"controls",2
"convalescent",2
"convened",2
"convert",2
"convertibility",2
"cooperative",2
"cop",2
"copayment",2
"cornerstones",2
"corridors",2
"countering",2
"countermeasures",2
"counting",2
"cpg",2
"credited",2
"critical",2
"cross",2
"crossgenerational",2
"csdi",2
"ctcs",2
"cubic",2
"cultivate",2
"cushion",2
"customer",2
"customised",2
"cwaive",2
"cycling",2
"database",2
"dawn",2
"deadlock",2
"dealers",2
"decent",2
"decisionmaking",2
"declarations",2
"defeat",2
"defer",2
"deflationary",2
"demented",2
"denied",2
"departure",2
"dependants",2
"depletion",2
"depository",2
"depreciation",2
"deprive",2
"deprived",2
"describe",2
"deserve",2
"designed",2
"desirable",2
"destinations",2
"determining",2
"developmenti",2
"developmentredevelopment",2
"developmentthe",2
"devoting",2
"devotion",2
"diabetes",2
"dickens",2
"differ",2
"difference",2
"digitalisation",2
"dilapidation",2
"director",2
"disagree",2
"disorder",2
"disorders",2
"disregarded",2
"disrepair",2
"disrupted",2
"dissatisfaction",2
"distancing",2
"distinctly",2
"distribute",2
"diversifying",2
"divide",2
"divorced",2
"document",2
"doldrums",2
"domains",2
"domiciled",2
"donation",2
"dongjiang",2
"downslide",2
"downwards",2
"dozens",2
"dragged",2
"dragon",2
"drinking",2
"drops",2
"dthe",2
"dttn",2
"dualtrack",2
"dues",2
"dumped",2
"dupont",2
"earmarking",2
"earned",2
"ebb",2
"ebps",2
"echeque",2
"ecology",2
"economicoutlook",2
"economicprospects",2
"ecopark",2
"ecoresponsibility",2
"ecotourism",2
"edb",2
"educationour",2
"eec",2
"effectivenesswe",2
"egovernment",2
"eighty",2
"elect",2
"electronics",2
"elevate",2
"eliminating",2
"elizabeth",2
"else",2
"elsewhere",2
"embracing",2
"emoluments",2
"emotional",2
"emphasised",2
"encounters",2
"encouragement",2
"enddecember",2
"endeavoured",2
"ended",2
"endure",2
"energetic",2
"energysaving",2
"enjoyable",2
"enrichment",2
"enrolment",2
"enrolments",2
"enshrined",2
"entails",2
"entirely",2
"entrepreneurial",2
"environmentalprotection",2
"equalisation",2
"escalate",2
"esr",2
"ess",2
"essentially",2
"estimatethe",2
"evade",2
"evaluation",2
"evening",2
"evergrowing",2
"excludes",2
"exclusive",2
"exempting",2
"exercises",2
"exerted",2
"exist",2
"expands",2
"expects",2
"expended",2
"expiry",2
"explaining",2
"exponentially",2
"exposition",2
"expresses",2
"expression",2
"externally",2
"extracurricular",2
"extreme",2
"exuberance",2
"exuberant",2
"facilitieswe",2
"factories",2
"famous",2
"fanling",2
"fans",2
"fashionable",2
"fatf",2
"favourably",2
"fed",2
"federation",2
"feeble",2
"feedback",2
"fertile",2
"filing",2
"finetune",2
"firms",2
"firstclass",2
"firstdegree",2
"firstever",2
"firstyear",2
"fitted",2
"fittings",2
"flagship",2
"flexibly",2
"flourishing",2
"flowers",2
"flushing",2
"flycruise",2
"foods",2
"footholds",2
"forever",2
"forging",2
"formally",2
"formidable",2
"formula",2
"fortunate",2
"fragile",2
"franchise",2
"freelyconvertible",2
"freespace",2
"freshwater",2
"friendship",2
"frontiers",2
"fuelpropelled",2
"fujian",2
"fulfilling",2
"fuller",2
"fullfledged",2
"fullscale",2
"fullyear",2
"galleries",2
"gallery",2
"game",2
"gaps",2
"gate",2
"gather",2
"gathered",2
"gauge",2
"gazette",2
"gic",2
"governmentueb",2
"grantham",2
"grasping",2
"gratitude",2
"greenfield",2
"groundbreaking",2
"gsf",2
"guard",2
"guideline",2
"haemodialysis",2
"halfrate",2
"halls",2
"halving",2
"hanoi",2
"happily",2
"hardearned",2
"hardworking",2
"harsh",2
"hatred",2
"heading",2
"headroom",2
"healthinnohk",2
"herbal",2
"hesitate",2
"heung",2
"highlighted",2
"highrisk",2
"hightier",2
"highyield",2
"hills",2
"hinder",2
"hindered",2
"hindering",2
"hinge",2
"hitting",2
"hkbcf",2
"hkctc",2
"hkdc",2
"hkmcil",2
"hkpc",2
"homeowners",2
"hoping",2
"horticulture",2
"hospitable",2
"hostel",2
"husband",2
"hypertensive",2
"ich",2
"iffo",2
"ignored",2
"illegal",2
"illicit",2
"illnesses",2
"impeded",2
"imperative",2
"importing",2
"imposing",2
"impossible",2
"impression",2
"incessant",2
"incumbent",2
"incurring",2
"indebted",2
"indefinitely",2
"indicating",2
"indication",2
"individuallyowned",2
"induce",2
"industrialcommercial",2
"industrialisation",2
"inextricably",2
"infirm",2
"infirmary",2
"influence",2
"influx",2
"infrastructures",2
"initiating",2
"inno",2
"innovate",2
"inpatient",2
"insitu",2
"installed",2
"instructed",2
"instruction",2
"instrument",2
"insure",2
"insured",2
"integrates",2
"integrating",2
"interacting",2
"interbureau",2
"interpersonal",2
"interpretation",2
"intricate",2
"invaluable",2
"invitation",2
"irregularities",2
"irreplaceable",2
"iscover",2
"isolation",2
"jiabao",2
"jin",2
"jointuser",2
"judgement",2
"judicial",2
"justifiable",2
"keqiang",2
"keys",2
"kicking",2
"kiuha",2
"knowing",2
"kongbased",2
"konglast",2
"kongowned",2
"kongthe",2
"kongto",2
"kwano",2
"laden",2
"lady",2
"lausanne",2
"lawabiding",2
"lawtech",2
"laying",2
"learned",2
"leaves",2
"ledger",2
"lehman",2
"lend",2
"lest",2
"lifeline",2
"lifting",2
"lights",2
"liner",2
"linger",2
"linkages",2
"liquid",2
"liquor",2
"liveability",2
"lively",2
"load",2
"lodging",2
"longesttenor",2
"lowerincome",2
"lowtax",2
"lpfs",2
"lunar",2
"lyric",2
"lyrics",2
"magazine",2
"mainlanders",2
"makers",2
"maldives",2
"malpractices",2
"manifestation",2
"margaret",2
"marketthe",2
"marketwe",2
"mask",2
"masks",2
"matches",2
"maturing",2
"maximise",2
"meaningful",2
"mechanical",2
"mediumhigh",2
"melting",2
"mend",2
"mentally",2
"mhpp",2
"microsoft",2
"midjuly",2
"midterm",2
"mileage",2
"minibonds",2
"minibuses",2
"ministerial",2
"ministers",2
"ministries",2
"mitigate",2
"modalities",2
"modality",2
"modular",2
"modus",2
"moneymarkets",2
"mostly",2
"mother",2
"motherlands",2
"mountain",2
"mpfa",2
"msci",2
"multifunctional",2
"multilateralism",2
"multimedia",2
"multipurpose",2
"municipalities",2
"nam",2
"nano",2
"nativism",2
"navigator",2
"nearby",2
"nearshore",2
"nearterm",2
"negotiation",2
"neighbours",2
"neither",2
"nest",2
"newlyestablished",2
"ngo",2
"non",2
"noncommunicable",2
"nonengaged",2
"nonfranchised",2
"nonmainland",2
"nonmeanstested",2
"nonskilled",2
"nonsovereign",2
"northwest",2
"notch",2
"notwithstanding",2
"nsas",2
"nurse",2
"oaa",2
"obviously",2
"occurred",2
"occurrence",2
"official",2
"ogvs",2
"olam",2
"onceinacentury",2
"oncology",2
"onetenth",2
"onset",2
"onto",2
"operandi",2
"optical",2
"ordinary",2
"outdated",2
"outflow",2
"outlined",2
"outreaching",2
"outsourcing",2
"outwards",2
"oversight",2
"overtaking",2
"overthecounter",2
"page",2
"pain",2
"palace",2
"palliative",2
"panpearl",2
"parade",2
"paradigm",2
"paradise",2
"paris",2
"partial",2
"participated",2
"partly",2
"party",2
"passing",2
"pat",2
"patchy",2
"patience",2
"pause",2
"payasyougo",2
"payers",2
"pcm",2
"peace",2
"peertopeer",2
"penalties",2
"penetration",2
"peoplebased",2
"permit",2
"permitting",2
"peru",2
"petrol",2
"philanthropic",2
"philip",2
"pipeline",2
"pitfalls",2
"placementtied",2
"plagued",2
"played",2
"plbs",2
"pleasant",2
"pledges",2
"plunge",2
"pmq",2
"policymaking",2
"polytechnic",2
"pop",2
"popularisation",2
"popularity",2
"possesses",2
"possibly",2
"postfinancial",2
"postponed",2
"pot",2
"poultry",2
"povertyalleviation",2
"powerful",2
"powering",2
"practitioner",2
"precinct",2
"precious",2
"precision",2
"predictability",2
"prefabrication",2
"preferable",2
"preparedness",2
"preprofit",2
"preserved",2
"prestigious",2
"princess",2
"principals",2
"printing",2
"prior",2
"privately",2
"probably",2
"procedure",2
"proceeding",2
"proceedings",2
"produced",2
"productions",2
"professionssectors",2
"progressing",2
"proinnovation",2
"projectswe",2
"promenade",2
"promises",2
"promoter",2
"pronounced",2
"proof",2
"proposalswe",2
"pros",2
"prosper",2
"protective",2
"prototypes",2
"prototyping",2
"prove",2
"prudential",2
"psychogeriatric",2
"publication",2
"publicthe",2
"publishing",2
"pulse",2
"pun",2
"pursued",2
"putonghua",2
"puts",2
"qdii",2
"qmh",2
"quarantine",2
"quickened",2
"quieter",2
"raises",2
"ranging",2
"rankings",2
"rare",2
"rated",2
"rationalise",2
"rationality",2
"ratios",2
"raw",2
"realisation",2
"reallocated",2
"recentlycompleted",2
"recharging",2
"recipient",2
"reclamations",2
"recognises",2
"recommend",2
"recovering",2
"recruiting",2
"rectify",2
"recycle",2
"redeployment",2
"redeveloped",2
"redeveloping",2
"reengineer",2
"referrals",2
"refined",2
"refinements",2
"refuge",2
"refurbish",2
"refurbishment",2
"regain",2
"regionalisation",2
"registry",2
"regularisation",2
"regulations",2
"regulator",2
"rehabus",2
"rehire",2
"reit",2
"reiterate",2
"reiterated",2
"relapse",2
"relative",2
"relentless",2
"relies",2
"relocated",2
"reminded",2
"reminds",2
"rendering",2
"renewed",2
"reorganise",2
"repaying",2
"repeat",2
"repeatedly",2
"repercussions",2
"reprioritising",2
"rescue",2
"responded",2
"responses",2
"responsibilities",2
"restrains",2
"rests",2
"retire",2
"retirees",2
"retreating",2
"reuse",2
"reversal",2
"reversing",2
"revising",2
"rewrite",2
"rigid",2
"riskcontrolled",2
"rmbdenominated",2
"robustly",2
"root",2
"rooted",2
"roundtheclock",2
"rulebased",2
"runs",2
"rural",2
"safeguarded",2
"safeguards",2
"sake",2
"salaryrelated",2
"sandbox",2
"satisfied",2
"satisfy",2
"scales",2
"scanning",2
"scenario",2
"scenery",2
"scenic",2
"scientists",2
"scrap",2
"seamless",2
"seas",2
"seasonally",2
"seawater",2
"sees",2
"selecting",2
"selflearning",2
"selfreliant",2
"selfservice",2
"selfsustaining",2
"sellers",2
"seminars",2
"senioryear",2
"separated",2
"serap",2
"served",2
"serviceoriented",2
"settled",2
"severance",2
"sfaa",2
"shaken",2
"shekou",2
"shifted",2
"ships",2
"shop",2
"shrank",2
"shrink",2
"shuttle",2
"shy",2
"sightseeing",2
"sign",2
"simpler",2
"sin",2
"sincerity",2
"singleparent",2
"sister",2
"skill",2
"slackening",2
"slowgrowing",2
"smaller",2
"smallerthanexpected",2
"smallscale",2
"smarter",2
"smoother",2
"soar",2
"soared",2
"sociocultural",2
"solely",2
"solicit",2
"sometimes",2
"sorting",2
"spa",2
"spain",2
"spanning",2
"spared",2
"spares",2
"specialisation",2
"specifying",2
"speedy",2
"spheres",2
"spite",2
"spot",2
"spots",2
"spreading",2
"springtime",2
"squarely",2
"ssa",2
"standstill",2
"starters",2
"startmeuphk",2
"stateoftheart",2
"staunch",2
"stead",2
"steam",2
"steer",2
"stepped",2
"stonecutters",2
"stores",2
"striking",2
"stringent",2
"stringently",2
"striven",2
"stroke",2
"studied",2
"subcommittee",2
"submissions",2
"subscribers",2
"subsectors",2
"subsides",2
"subsidisedaided",2
"succeeded",2
"succession",2
"suffers",2
"suggests",2
"sunny",2
"sunshine",2
"superstructure",2
"supervise",2
"supplied",2
"supplier",2
"suppliers",2
"supportenterprises",2
"supporter",2
"suppressed",2
"surgery",2
"surges",2
"surpassing",2
"surveys",2
"survived",2
"suspend",2
"suspended",2
"swallowing",2
"swine",2
"swiss",2
"systemic",2
"tactics",2
"tailormade",2
"taiwanese",2
"taiwanhong",2
"talentintensive",2
"tangible",2
"tape",2
"taper",2
"tarnished",2
"taxable",2
"taxexempted",2
"taxpaying",2
"tea",2
"telecommunication",2
"telephone",2
"temple",2
"tenfold",2
"tens",2
"tepid",2
"territorialsourcebased",2
"territorys",2
"territorythe",2
"tfa",2
"thb",2
"theepidemic",2
"thematic",2
"thence",2
"therapists",2
"therapy",2
"thin",2
"thoroughly",2
"threatened",2
"threats",2
"thriving",2
"thrown",2
"tiding",2
"tighten",2
"timehonoured",2
"toilets",2
"toll",2
"tolled",2
"tolo",2
"tour",2
"towns",2
"toy",2
"tracks",2
"trail",2
"trainee",2
"transferred",2
"transform",2
"transmission",2
"transporting",2
"transshipment",2
"trapped",2
"travelled",2
"travels",2
"treated",2
"trendsetting",2
"tribulations",2
"tricycles",2
"triennium",2
"trimmed",2
"troubles",2
"trough",2
"true",2
"truly",2
"trying",2
"tsim",2
"tsui",2
"turbulent",2
"turf",2
"twenty",2
"twentyfoot",2
"tworunway",2
"twotiered",2
"tyre",2
"ubpa",2
"ugc",2
"ugcfunded",2
"unauthorised",2
"unbalanced",2
"unclear",2
"undergo",2
"undergraduates",2
"undermines",2
"understandable",2
"underwent",2
"underwriting",2
"unfair",2
"unforeseen",2
"unicorns",2
"unilateralism",2
"universal",2
"unsettling",2
"unstoppable",2
"unveiled",2
"updating",2
"upholds",2
"upper",2
"upset",2
"upstream",2
"upsurge",2
"uptrend",2
"urge",2
"urgent",2
"uss",2
"usual",2
"vaccines",2
"valorem",2
"valuation",2
"vanguard",2
"variances",2
"varied",2
"vary",2
"velodrome",2
"ventilation",2
"version",2
"vessel",2
"vicepremier",2
"vicinity",2
"victory",2
"villages",2
"visàvis",2
"visionary",2
"visions",2
"volumes",2
"vpet",2
"vshaped",2
"waivers",2
"war",2
"wary",2
"wastage",2
"weaker",2
"weakness",2
"websites",2
"weigh",2
"weighed",2
"wen",2
"whatever",2
"wheelchair",2
"white",2
"widen",2
"widespread",2
"wife",2
"wildly",2
"win",2
"wind",2
"wines",2
"winter",2
"wireless",2
"withdrawals",2
"womens",2
"worker",2
"workspace",2
"worthwhile",2
"wristbands",2
"wsd",2
"yan",2
"yards",2
"yatsen",2
"yearbincreasing",2
"yearbwaive",2
"yearwith",2
"yee",2
"yielding",2
"ying",2
"youngsters",2
"zeroemission",2
"zerotariff",2
"zone",2
"zoning",2
"aallocating",1
"aas",1
"abandonment",1
"abated",1
"abatement",1
"abilitytopay",1
"ablebodied",1
"abovementioned",1
"abovestation",1
"aboveto",1
"abroadstudent",1
"abroadto",1
"absorb",1
"absorbed",1
"abundance",1
"abused",1
"abuses",1
"acceptability",1
"accessed",1
"acclaimed",1
"accolade",1
"accolades",1
"accompanied",1
"accomplish",1
"accorded",1
"accountability",1
"accountancy",1
"accredits",1
"accustomed",1
"achievementsto",1
"acknowledged",1
"acontinuing",1
"acquired",1
"acrosstheboard",1
"acted",1
"actuarial",1
"acutely",1
"adaptation",1
"adapting",1
"addedvalue",1
"additions",1
"addresses",1
"adjoining",1
"adjusts",1
